read_id	category	expect	expect_detail	read_len	source
b91d3183-7a07-4b2b-b196-d9c383d0d882	human_high_identity	masked_fully	no organism accounts for any base	1706	GIAB HG002 GM24385_1
350f1bc1-00aa-4d9f-ae5b-6f697670fe47	human_high_identity	masked_fully	no organism accounts for any base	1527	GIAB HG002 GM24385_1
3f9cfa61-b1e8-40e0-9085-82f7a0d95ede	human_high_identity	masked_fully	no organism accounts for any base	2659	GIAB HG002 GM24385_1
3bfc7bb2-6aa6-418b-aae9-ce128b470881	human_high_identity	masked_fully	no organism accounts for any base	1833	GIAB HG002 GM24385_1
0e49671b-fbbb-4906-be30-dfc4d326b666	human_high_identity	masked_fully	no organism accounts for any base	6423	GIAB HG002 GM24385_1
60f8a5e4-4860-4286-ab25-bbd6be15723c	human_high_identity	masked_fully	no organism accounts for any base	624	GIAB HG002 GM24385_1
f970bc95-fdeb-4eca-9623-d437e20985f1	human_high_identity	masked_fully	no organism accounts for any base	5549	GIAB HG002 GM24385_1
d24c163b-2dc5-4804-b27a-3ba5df16e23c	human_high_identity	masked_fully	no organism accounts for any base	10922	GIAB HG002 GM24385_1
b50c0ab6-da5c-4cc4-903f-6bea5470af0e	human_high_identity	masked_fully	no organism accounts for any base	2334	GIAB HG002 GM24385_1
eb758a7c-4be3-455c-8894-6320d616f2f5	human_high_identity	masked_fully	no organism accounts for any base	7302	GIAB HG002 GM24385_1
b50db513-2227-4d28-84cb-3dee1fa585d8	human_high_identity	masked_fully	no organism accounts for any base	1069	GIAB HG002 GM24385_1
43304b1e-8ced-4b55-8da0-add2342095cc	human_high_identity	masked_fully	no organism accounts for any base	4828	GIAB HG002 GM24385_1
9226d913-481a-4bb4-8d07-65fee97d1967	human_high_identity	masked_fully	no organism accounts for any base	4170	GIAB HG002 GM24385_1
31dac527-8a2a-47e0-870e-961c82351c1e	human_high_identity	masked_fully	no organism accounts for any base	5847	GIAB HG002 GM24385_1
9a3d45a1-9b05-4164-80b8-577bd4a213ac	human_high_identity	masked_fully	no organism accounts for any base	5000	GIAB HG002 GM24385_1
1aef0829-0d93-4677-a6d7-0bd1e057ac50	human_high_identity	masked_fully	no organism accounts for any base	5344	GIAB HG002 GM24385_1
d5563e98-74f6-464c-b4a2-5eea93546bdc	human_high_identity	masked_fully	no organism accounts for any base	1666	GIAB HG002 GM24385_1
b9d6faa0-c872-4021-8872-e2f5bca95c66	human_high_identity	masked_fully	no organism accounts for any base	4761	GIAB HG002 GM24385_1
8ab85bf9-dd2d-443f-9a1c-d556723e87ec	human_high_identity	masked_fully	no organism accounts for any base	10145	GIAB HG002 GM24385_1
81a595c5-4ad8-4ebd-a866-2d651b94a455	human_high_identity	masked_fully	no organism accounts for any base	3491	GIAB HG002 GM24385_1
5371df50-eaa0-49ed-8334-a16d061b622b	human_high_identity	masked_fully	no organism accounts for any base	614	GIAB HG002 GM24385_1
c8958928-bbb3-4da3-9860-75c8a69bed83	human_high_identity	masked_fully	no organism accounts for any base	3769	GIAB HG002 GM24385_1
24fc0d46-dff7-4c79-a856-23f8b54c834a	human_high_identity	masked_fully	no organism accounts for any base	2425	GIAB HG002 GM24385_1
362ebcaa-8ec4-4f4c-8239-19ff0f6b8903	human_high_identity	masked_fully	no organism accounts for any base	1101	GIAB HG002 GM24385_1
d19ee399-ded2-4346-978b-9b32bdf87a07	human_high_identity	masked_fully	no organism accounts for any base	9251	GIAB HG002 GM24385_1
1ec00294-4887-483f-99da-ff4d34930403	human_high_identity	masked_fully	no organism accounts for any base	2537	GIAB HG002 GM24385_1
b12091e4-64b6-42e0-8999-95aee4548b25	human_high_identity	masked_fully	no organism accounts for any base	3863	GIAB HG002 GM24385_1
3a54ed79-a861-4dd7-b665-aaa7b0c1112c	human_high_identity	masked_fully	no organism accounts for any base	11131	GIAB HG002 GM24385_1
db473836-de96-4af2-ac9e-af43b04b5806	human_high_identity	masked_fully	no organism accounts for any base	1104	GIAB HG002 GM24385_1
b66b23e5-22a8-4cc5-955d-c7a1e5c2a6d5	human_high_identity	masked_fully	no organism accounts for any base	7517	GIAB HG002 GM24385_1
bd5807ee-4c34-4de9-8cf0-d7fc5d6004b6	human_high_identity	masked_fully	no organism accounts for any base	2062	GIAB HG002 GM24385_1
a5e9f2bb-1e8a-4fa4-88c4-1f2c3ec4eddf	human_high_identity	masked_fully	no organism accounts for any base	1045	GIAB HG002 GM24385_1
9574c07c-e0d4-4154-b63c-54ab126c9c2f	human_high_identity	masked_fully	no organism accounts for any base	8472	GIAB HG002 GM24385_1
cc87855c-d971-40cd-907d-3a7672e8a57c	human_high_identity	masked_fully	no organism accounts for any base	312	GIAB HG002 GM24385_1
852ad99e-b566-48ff-96c5-deb96fb1c6ec	human_high_identity	masked_fully	no organism accounts for any base	5190	GIAB HG002 GM24385_1
28762c46-e9b9-4177-8e68-f4242c787faa	human_high_identity	masked_fully	no organism accounts for any base	7185	GIAB HG002 GM24385_1
ee229325-278c-4468-a85c-261f08a48021	human_high_identity	masked_fully	no organism accounts for any base	4102	GIAB HG002 GM24385_1
755c8544-2f05-4ded-b776-60edea8875ee	human_high_identity	masked_fully	no organism accounts for any base	738	GIAB HG002 GM24385_1
e4a7cfaa-06bd-4264-bca7-96876d6172d3	human_high_identity	masked_fully	no organism accounts for any base	3420	GIAB HG002 GM24385_1
bffaeb9a-a128-4f10-9161-5480cc733195	human_high_identity	masked_fully	no organism accounts for any base	1168	GIAB HG002 GM24385_1
0d46a52a-4a93-40a8-b6fe-064e562a7a30	human_high_identity	masked_fully	no organism accounts for any base	4007	GIAB HG002 GM24385_1
2c4061a6-906a-4b62-b9bb-79f2396b9a21	human_high_identity	masked_fully	no organism accounts for any base	543	GIAB HG002 GM24385_1
df691413-3b0f-4e2d-a4e4-6700b6bdf4ed	human_high_identity	masked_fully	no organism accounts for any base	1351	GIAB HG002 GM24385_1
a17106fe-5db2-420b-b8c1-8469fb0e84b3	human_high_identity	masked_fully	no organism accounts for any base	1023	GIAB HG002 GM24385_1
1de8acad-0d1e-4145-951c-83ed1fd4f8f0	human_high_identity	masked_fully	no organism accounts for any base	1309	GIAB HG002 GM24385_1
4300881c-e4dc-4dc4-90f5-40fe90e004a4	human_high_identity	masked_fully	no organism accounts for any base	3344	GIAB HG002 GM24385_1
f9e5d435-4f00-4a3f-93f8-bba566073fd2	human_high_identity	masked_fully	no organism accounts for any base	2827	GIAB HG002 GM24385_1
de8c0087-45c1-4e44-ad1e-683e6392ff41	human_high_identity	masked_fully	no organism accounts for any base	1773	GIAB HG002 GM24385_1
f0504426-98c2-4dd2-8b2d-0afafecdf882	human_high_identity	masked_fully	no organism accounts for any base	685	GIAB HG002 GM24385_1
f89ae17e-1aaa-4b89-a2ec-5f595e2ad03b	human_high_identity	masked_fully	no organism accounts for any base	781	GIAB HG002 GM24385_1
086ea592-6af3-48bc-a0e4-7a9e04e59b58	human_high_identity	masked_fully	no organism accounts for any base	9707	GIAB HG002 GM24385_1
89666209-3e94-431d-80ae-67c0c8ac3600	human_high_identity	masked_fully	no organism accounts for any base	578	GIAB HG002 GM24385_1
00b651cc-554e-4449-a567-77c56a0e8023	human_high_identity	masked_fully	no organism accounts for any base	781	GIAB HG002 GM24385_1
c327a0b6-77bf-4daa-8599-8add54d93f7c	human_high_identity	masked_fully	no organism accounts for any base	3950	GIAB HG002 GM24385_1
b8ed9699-d697-425f-923a-e06039dd8a1c	human_high_identity	masked_fully	no organism accounts for any base	3037	GIAB HG002 GM24385_1
f2e1cb3c-cb8b-4052-be72-8641186cc480	human_high_identity	masked_fully	no organism accounts for any base	3470	GIAB HG002 GM24385_1
f6c35d7f-8a8c-42f7-88b3-eec17cadf486	human_high_identity	masked_fully	no organism accounts for any base	5714	GIAB HG002 GM24385_1
cf307129-e191-4c55-9146-0c51e2bec028	human_high_identity	masked_fully	no organism accounts for any base	766	GIAB HG002 GM24385_1
61732a1a-12c1-4171-ad56-2ae9615aeb25	human_high_identity	masked_fully	no organism accounts for any base	5222	GIAB HG002 GM24385_1
211b446e-e5e9-4753-ab0d-a9dacf523d12	human_high_identity	masked_fully	no organism accounts for any base	657	GIAB HG002 GM24385_1
a86a71ed-e115-423d-8907-c15a7ac7e90c	human_high_identity	masked_fully	no organism accounts for any base	639	GIAB HG002 GM24385_1
8fc13376-4a87-4a8d-b3a8-1d310a6b600a	human_high_identity	masked_fully	no organism accounts for any base	1454	GIAB HG002 GM24385_1
78ce561d-cc85-4636-887c-29e20c56e42f	human_high_identity	masked_fully	no organism accounts for any base	5023	GIAB HG002 GM24385_1
f70f5dee-5f4e-4288-9707-d2deb4922708	human_high_identity	masked_fully	no organism accounts for any base	1246	GIAB HG002 GM24385_1
22dcaaf4-2526-4f63-9226-429cd49c2ff1	human_high_identity	masked_fully	no organism accounts for any base	850	GIAB HG002 GM24385_1
3cec5c73-22a1-441b-ae21-37567b11e6b6	human_high_identity	masked_fully	no organism accounts for any base	10673	GIAB HG002 GM24385_1
37f06ce5-ddfc-4e46-8e68-e6d3dd8d43ff	human_high_identity	masked_fully	no organism accounts for any base	1558	GIAB HG002 GM24385_1
67ef77c5-4b87-4778-8c25-931b455c023e	human_high_identity	masked_fully	no organism accounts for any base	1664	GIAB HG002 GM24385_1
1a004275-b0db-4e30-9691-3a7ab4ca696a	human_high_identity	masked_fully	no organism accounts for any base	10045	GIAB HG002 GM24385_1
